filename,latitude,longitude,date,scores
3372.jpg,41.7675867847,-72.6985460982,2018-07,1
10112.jpg,41.7725874343,-72.6450354401,2017-07,0
9181.jpg,41.7501820836,-72.6570562079,2018-09,0
9380.jpg,41.7697423034,-72.7217711523,2018-07,1
4989.jpg,41.7824071,-72.6882454,2018-10,1
2755.jpg,41.7592762575,-72.68576018,2018-09,0
730.jpg,41.7652161,-72.6839838,2018-09,1
571.jpg,41.7697870342,-72.6819292416,2018-09,0
8440.jpg,41.786004288899996,-72.70711179109999,2018-09,0
10129.jpg,41.766293853899995,-72.6445042555,2018-08,0
6857.jpg,41.763432444,-72.7119389297,2011-06,1
709.jpg,41.765444409699995,-72.6831307028,2017-07,0
7339.jpg,41.758493562199995,-72.7110447709,2011-06,1
2318.jpg,41.7634978391,-72.69236770399999,2018-07,1
10974.jpg,41.798224243,-72.6986119725,2018-09,1
8012.jpg,41.7925843544,-72.6799705113,2015-08,1
7465.jpg,41.7876484181,-72.6970963616,2017-07,1
6282.jpg,41.750890735,-72.6947647192,2011-06,1
7830.jpg,41.7556153633,-72.7112260752,2011-06,1
8133.jpg,41.7656400228,-72.6523543183,2015-07,0
6895.jpg,41.7730578494,-72.7117914842,2018-09,1
8236.jpg,41.743939949099996,-72.67926442779999,2015-07,1
3123.jpg,41.768061999299995,-72.6713278403,2018-09,0
1281.jpg,41.7637797102,-72.6872465487,2018-09,0
7416.jpg,41.7786187464,-72.7097347119,2018-09,1
7100.jpg,41.7748119844,-72.6573468601,2016-10,0
7916.jpg,41.779430072800004,-72.7115094742,2011-06,1
3476.jpg,41.7777991421,-72.6895301694,2011-07,1
8901.jpg,41.7762973,-72.7179885,2018-12,1
3794.jpg,41.7581824003,-72.6931254685,2018-07,0
4384.jpg,41.7691455287,-72.7023869299,2017-07,0
4312.jpg,41.7586981373,-72.6971846079,2018-09,0
4113.jpg,41.7699693,-72.66775759999999,2018-07,0
375.jpg,41.7681102109,-72.6869166078,2018-09,1
3686.jpg,41.7598662366,-72.6735975121,2018-07,0
10572.jpg,41.7878394612,-72.6518389062,2007-08,0
4264.jpg,41.755305245,-72.6880320912,2017-07,0
7621.jpg,41.7691747,-72.65400749999998,2018-08,0
2921.jpg,41.7727498407,-72.6947233911,2011-06,1
7421.jpg,41.7799041127,-72.70933030970001,2018-10,1
1259.jpg,41.7634764779,-72.685657093,2018-07,1
5874.jpg,41.767730062,-72.7087316676,2018-08,1
3733.jpg,41.7570641,-72.68160340000001,2018-09,0
9725.jpg,41.7401260476,-72.6728990371,2018-08,0
9037.jpg,41.7923245,-72.6682558,2018-10,0
7632.jpg,41.7659924783,-72.6542088935,2018-10,0
10951.jpg,41.794049822800005,-72.70916118699999,2018-08,0
5938.jpg,41.780559927199995,-72.70106030689999,2018-10,0
8777.jpg,41.7435972245,-72.6966407703,2015-07,1
10526.jpg,41.7977991669,-72.6714736946,2018-10,0
10500.jpg,41.7999515967,-72.6849677822,2011-06,1
5243.jpg,41.752158249000004,-72.6829722602,2018-07,1
3920.jpg,41.7740764,-72.69805500000002,2011-07,0
1711.jpg,41.7627751379,-72.6812116909,2018-07,0
2315.jpg,41.7630556327,-72.6915131241,2011-06,1
8796.jpg,41.7461884059,-72.7036808695,2016-11,1
3839.jpg,41.7633743263,-72.69893343300001,2018-07,0
7498.jpg,41.789921542399995,-72.6856790587,2011-06,1
3420.jpg,41.7734655127,-72.696534541,2018-08,1
2730.jpg,41.759607252399995,-72.6821705785,2018-09,1
8753.jpg,41.7420012424,-72.6863843428,2018-07,1
10965.jpg,41.7964722748,-72.7030677834,2012-08,1
7002.jpg,41.7895991922,-72.6842599106,2011-06,1
641.jpg,41.7677084236,-72.68109524329998,2018-07,0
4023.jpg,41.780741288,-72.6799887233,2018-10,1
4514.jpg,41.782506134,-72.6815412595,2018-07,1
1319.jpg,41.7654897,-72.68953379999998,2018-10,0
9287.jpg,41.7432915752,-72.70183155560001,2011-06,0
6844.jpg,41.7603409873,-72.7100503225,2018-08,1
9621.jpg,41.7694167254,-72.6463489912,2018-09,0
4007.jpg,41.7808842688,-72.68355229640001,2011-06,1
8287.jpg,41.7459117675,-72.6999643811,2011-06,0
478.jpg,41.7692927,-72.68597290000002,2018-10,0
5830.jpg,41.7587002603,-72.7048091961,2018-08,1
5758.jpg,41.7507457782,-72.6871148529,2018-09,0
7690.jpg,41.7511656075,-72.66395643050001,2018-08,1
4260.jpg,41.7550282644,-72.6870695621,2018-08,0
3772.jpg,41.7568573162,-72.6893377574,2018-07,1
1921.jpg,41.7712073016,-72.6915871878,2011-06,1
4129.jpg,41.7673508426,-72.6676800404,2017-07,0
326.jpg,41.7671573177,-72.6865733752,2018-09,0
6176.jpg,41.7566763453,-72.66477625659999,2018-07,0
5742.jpg,41.750708953600004,-72.683178221,2018-09,0
1766.jpg,41.7623623558,-72.6867782437,2018-09,1
6517.jpg,41.7880276016,-72.6791678939,2011-06,1
100.jpg,41.768490496,-72.68324132869998,2018-10,0
2958.jpg,41.7752502891,-72.6909382096,2011-06,1
7241.jpg,41.7466287516,-72.6817935215,2011-06,0
969.jpg,41.7709014181,-72.6861024984,2018-10,0
5797.jpg,41.753566968899996,-72.69743273579998,2017-07,1
6110.jpg,41.77152279999999,-72.6602801,2018-09,0
561.jpg,41.770115716199996,-72.6824261464,2018-10,0
11219.jpg,41.7372926,-72.66819459999998,2018-07,0
9379.jpg,41.7693324164,-72.7218461627,2018-07,1
446.jpg,41.7691586353,-72.6859528266,2018-10,0
10550.jpg,41.7938541,-72.6599158,2017-07,0
1374.jpg,41.767963572199996,-72.6908049126,2018-09,1
420.jpg,41.7686404681,-72.6866937077,2018-07,0
3931.jpg,41.7755077357,-72.6968749722,2018-08,0
8253.jpg,41.743423747899996,-72.68582569979999,2018-09,1
402.jpg,41.7685934116,-72.6867424754,2018-07,0
7605.jpg,41.7737353499,-72.6549787758,2018-09,0
10211.jpg,41.7411293413,-72.66619837340001,2018-08,0
2521.jpg,41.776686728499996,-72.6817268835,2018-10,0
4753.jpg,41.7534235496,-72.68576921100001,2015-07,1
8495.jpg,41.7925589148,-72.6866509307,2011-06,1
6856.jpg,41.7628259048,-72.7112778864,2011-06,1
1172.jpg,41.7655600369,-72.6800245537,2018-07,0
3962.jpg,41.7783223224,-72.6921433552,2011-07,1
9393.jpg,41.7742026785,-72.7205898594,2018-09,1
10981.jpg,41.7991551,-72.69514090000001,2017-07,0
3195.jpg,41.7601561281,-72.676412187,2018-09,1
3222.jpg,41.7585717459,-72.680711185,2018-09,0
3817.jpg,41.7602587478,-72.6968644568,2018-07,1
7542.jpg,41.7880904009,-72.66964850800001,2018-10,0
5860.jpg,41.7650906164,-72.7078382182,2011-06,1
3710.jpg,41.7577551133,-72.6771169979,2011-06,0
365.jpg,41.7681102109,-72.6869166078,2018-09,1
6949.jpg,41.7842836478,-72.7011069418,2011-06,1
18.jpg,41.7693366,-72.6848605,2018-09,0
2398.jpg,41.770333805,-72.6940575918,2018-08,0
2807.jpg,41.7614634518,-72.6928632117,2015-07,1
71.jpg,41.7689818704,-72.683605016,2018-09,0
6513.jpg,41.787973441300004,-72.6804384238,2018-10,1
8466.jpg,41.7905753917,-72.6986888067,2018-10,1
10252.jpg,41.7374345184,-72.6856512525,2018-09,0
10276.jpg,41.73912670000001,-72.69789820000003,2018-09,1
331.jpg,41.767173605,-72.6867130514,2018-09,0
1617.jpg,41.7686878,-72.6771127,2017-03,0
9798.jpg,41.7440244673,-72.7065735973,2011-06,0
5389.jpg,41.771123189499995,-72.7062516174,2018-08,0
2217.jpg,41.7613591867,-72.6810597049,2018-07,0
5470.jpg,41.7827773974,-72.69276856020001,2018-07,1
9731.jpg,41.7398431128,-72.6757870656,2018-09,0
1199.jpg,41.764531261,-72.68152743430001,2017-07,0
840.jpg,41.7667954656,-72.6880078989,2018-07,0
2179.jpg,41.7631804775,-72.6776583138,2018-07,0
7870.jpg,41.766548783800005,-72.71620887739999,2018-09,1
1090.jpg,41.7698597544,-72.6798722805,2018-07,0
1258.jpg,41.7634764779,-72.685657093,2018-07,1
7242.jpg,41.7466136527,-72.682033744,2011-06,1
5687.jpg,41.756126539200004,-72.66874574399999,2011-06,0
6405.jpg,41.7748196039,-72.7081656992,2011-06,1
299.jpg,41.7668191059,-72.6861095125,2018-10,0
4484.jpg,41.7807767,-72.6884493,2018-10,0
4846.jpg,41.7626642727,-72.7030773059,2011-06,0
5873.jpg,41.7675347758,-72.7087265275,2018-08,1
6304.jpg,41.7533249464,-72.70080443319999,2018-07,1
9696.jpg,41.7454487362,-72.6607053731,2018-07,0
303.jpg,41.7668564703,-72.6862959434,2018-10,0
9700.jpg,41.7445261,-72.662226,2018-09,0
11152.jpg,41.7568944596,-72.6430414149,2018-09,0
11104.jpg,41.7766931109,-72.64205134640001,2011-07,0
339.jpg,41.767336761799996,-72.6867234292,2018-09,0
9528.jpg,41.795217713,-72.6716783604,2018-10,0
10245.jpg,41.7376821,-72.68218979999997,2018-09,0
2836.jpg,41.7636523702,-72.6948743398,2018-10,0
4414.jpg,41.7739971998,-72.69993925760001,2018-10,1
9568.jpg,41.7869357,-72.6558835,2018-09,0
8968.jpg,41.7922364406,-72.698589065,2011-06,1
1522.jpg,41.7734777248,-72.6830256136,2018-10,0
10912.jpg,41.7822576646,-72.72267853609999,2018-07,1
4189.jpg,41.7586356599,-72.6732653442,2011-06,0
3663.jpg,41.7628121731,-72.6712743133,2018-07,0
468.jpg,41.7692927,-72.68597290000002,2018-10,0
10506.jpg,41.7995173866,-72.6819142913,2018-09,1
3532.jpg,41.778542719200004,-72.6786653253,2011-06,0
1291.jpg,41.7642343558,-72.687904359,2018-09,0
1988.jpg,41.7733530963,-72.68620282970001,2011-06,0
2600.jpg,41.7706812924,-72.673934405,2018-09,0
6343.jpg,41.7605576538,-72.7081163112,2011-06,1
11469.jpg,41.7987144223,-72.7014300393,2012-08,1
174.jpg,41.7672736194,-72.6838941363,2018-10,0
8792.jpg,41.7454711622,-72.702489198,2011-06,0
8658.jpg,41.7574726944,-72.6532853967,2017-07,0
10012.jpg,41.7980180625,-72.67859783829998,2011-06,0
10635.jpg,41.763863683800004,-72.642787292,2018-10,0
10201.jpg,41.7430913664,-72.6612824329,2018-09,0
2733.jpg,41.7595113694,-72.68218112939999,2018-09,1
1114.jpg,41.768521793699996,-72.6792837748,2018-07,1
10200.jpg,41.7433456239,-72.661215312,2018-09,0
6493.jpg,41.7870209886,-72.6871478429,2018-10,1
2130.jpg,41.7675331675,-72.67552690069999,2018-07,1
2541.jpg,41.7753801025,-72.6795132031,2018-10,0
3884.jpg,41.7692371797,-72.699870851,2011-06,1
128.jpg,41.7679595022,-72.68310299390001,2018-09,0
3296.jpg,41.759749600000006,-72.69246290000002,2018-07,1
4140.jpg,41.7655077013,-72.6678598445,2018-10,0
6536.jpg,41.7866576808,-72.6731974742,2018-10,1
6822.jpg,41.7552832358,-72.7059744392,2018-07,1
1497.jpg,41.7725202468,-72.684787313,2011-06,0
3439.jpg,41.774963356,-72.6944973596,2011-06,1
8476.jpg,41.791614441,-72.6951718056,2011-06,1
8652.jpg,41.7590352,-72.6522627,2017-07,0
5992.jpg,41.78494391,-72.6874138724,2011-06,1
10468.jpg,41.7956864764,-72.7008482963,2011-06,0
3635.jpg,41.766523436599996,-72.66947073760001,2018-10,0
1116.jpg,41.768521793699996,-72.6792837748,2018-07,1
2519.jpg,41.7765203401,-72.6824455804,2011-06,0
8124.jpg,41.7683341,-72.65209109999998,2011-09,0
623.jpg,41.7680131081,-72.6811723109,2019-04,0
9606.jpg,41.77471920000001,-72.6470116,2011-07,1
7360.jpg,41.7639372311,-72.7132990409,2011-06,1
4137.jpg,41.7660098,-72.6678331,2018-09,0
9969.jpg,41.7948221544,-72.6997108984,2018-09,1
7530.jpg,41.789473402199995,-72.6736522153,2018-10,1
7423.jpg,41.7803731089,-72.7092615644,2018-10,1
2710.jpg,41.7604983895,-72.6798858836,2018-09,1
